Survived,Pclass,Age,SibSp,Parch,Fare,Embarked,female,male
1,1,28.0,0,0,63.58,2,1,0
1,2,9.0,0,0,14.17,3,1,0
1,3,59.0,0,0,10.15,3,1,0
1,1,38.0,1,4,76.91,3,0,1
1,3,57.0,2,2,29.49,3,1,0
1,2,61.0,0,0,22.5,3,1,0
1,2,61.0,0,0,6.81,3,1,0
1,2,49.0,0,0,10.08,3,1,0
1,3,47.0,4,1,30.94,3,0,1
1,1,45.0,0,0,10.79,2,1,0
1,2,21.0,0,0,3.8,3,1,0
1,3,53.0,0,0,9.7,3,1,0
1,1,27.0,0,0,63.58,3,1,0
1,1,49.0,0,0,22.97,3,0,1
1,1,33.0,0,0,69.45,2,1,0
1,1,23.0,1,2,25.64,3,0,1
1,3,26.0,0,0,16.44,2,1,0
1,3,24.0,0,0,22.83,3,0,1
1,1,43.0,0,0,63.58,2,1,0
1,1,44.0,0,0,63.58,2,0,1
1,2,64.0,0,1,12.02,3,1,0
1,2,7.0,0,0,7.96,3,1,0
1,1,50.0,0,0,63.58,2,1,0
1,1,55.0,0,0,28.28,1,1,0
1,2,48.0,2,0,27.61,3,1,0
1,2,58.0,0,0,9.57,2,1,0
1,1,38.0,1,0,83.23,2,1,0
1,2,66.0,4,0,21.84,2,1,0
1,3,57.0,0,2,7.02,3,1,0
1,3,13.0,0,1,28.69,3,1,0
1,3,25.0,1,1,30.98,2,1,0
1,2,38.0,0,0,9.73,3,1,0
1,2,5.0,4,1,31.24,2,1,0
1,1,64.0,0,0,63.58,2,1,0
1,1,19.0,0,0,99.85,3,1,0
1,1,47.0,0,0,63.58,2,1,0
1,1,60.0,0,0,98.24,2,1,0
1,2,78.0,0,1,28.49,3,1,0
1,2,40.0,0,0,24.17,3,1,0
1,1,41.0,0,0,31.25,3,1,0
1,1,54.0,0,0,29.29,2,1,0
1,2,60.0,0,1,9.15,3,0,1
1,1,54.0,2,0,26.1,2,0,1
1,3,69.0,0,1,10.01,2,1,0
1,2,52.0,1,1,22.65,3,1,0
1,2,12.0,0,0,18.6,3,1,0
1,2,75.0,0,3,29.6,3,1,0
1,2,55.0,0,1,28.59,3,0,1
