PassengerId,Survived,Pclass,Age,Fare,female,male,C,Q,S,Family
0,1,1,47.0,27.14,0,1,0,0,1,2
1,0,3,30.0,13.35,0,1,0,0,1,0
2,0,3,0.33,71.29,0,1,0,0,1,3
3,0,3,19.0,13.04,0,1,0,0,1,0
4,1,3,25.0,7.76,0,1,0,0,1,0
5,0,2,35.0,6.71,0,1,0,0,1,0
6,0,3,7.0,9.77,0,1,0,0,1,0
7,1,3,6.0,31.5,1,0,0,0,1,3
8,0,1,27.0,73.02,0,1,0,0,1,3
9,0,2,66.0,9.14,0,1,1,0,0,0
10,0,3,31.0,8.06,0,1,0,0,1,0
11,0,1,60.0,31.5,0,1,0,0,1,0
12,0,3,36.0,9.34,0,1,0,0,1,0
13,1,2,50.0,7.88,0,1,0,1,0,0
14,1,1,44.0,28.4,1,0,1,0,0,1
15,1,3,57.0,9.31,1,0,0,0,1,0
16,0,3,53.0,7.92,0,1,0,0,1,0
17,0,1,43.0,29.84,0,1,0,0,1,0
18,0,2,25.0,8.85,0,1,0,0,1,0
19,1,1,61.0,205.01,1,0,0,1,0,4
20,0,3,17.0,8.28,1,0,0,0,1,0
21,0,1,39.0,30.72,0,1,0,0,1,1
22,0,1,59.0,28.56,0,1,0,0,1,2
23,1,3,23.0,7.95,1,0,0,1,0,0
24,0,3,21.0,10.38,0,1,0,0,1,0
25,0,1,53.0,82.57,1,0,0,1,0,2
26,0,3,26.0,10.24,1,0,0,0,1,0
27,1,1,35.0,154.61,1,0,1,0,0,2
28,1,2,23.0,8.62,0,1,0,0,1,0
29,0,3,36.0,8.6,0,1,0,0,1,0
30,1,3,5.0,31.35,0,1,0,0,1,2
31,1,3,7.0,28.75,0,1,0,0,1,1
32,1,2,31.0,19.83,1,0,1,0,0,1
33,1,1,67.0,97.2,1,0,0,1,0,1
34,1,2,38.0,33.66,1,0,1,0,0,0
35,0,3,30.0,5.77,0,1,1,0,0,0
36,1,1,47.0,60.02,1,0,0,1,0,0
37,1,1,54.0,228.82,0,1,0,0,1,0
38,0,2,53.0,13.33,1,0,0,0,1,0
39,1,2,61.0,22.72,1,0,0,0,1,0
40,1,1,69.0,116.65,1,0,0,1,0,1
41,1,3,22.0,6.03,0,1,0,0,1,0
42,1,2,7.0,28.53,1,0,0,0,1,1
43,0,2,23.0,35.18,0,1,0,0,1,1
44,0,3,30.0,27.49,0,1,0,0,1,1
45,0,3,68.0,31.01,1,0,1,0,0,1
